source,target
Ticinus,Syria
Ticinus,Arethusa
Ticinus,Syracuse
Ticinus,Alpheus
Ticinus,Olympia
Ticinus,Peloponnese
Ticinus,Lycus
Ticinus,Erasinus
Ticinus,Argolid
Ticinus,Tigris
Ticinus,Athens
Ticinus,Phaleron
Ticinus,Aquileia
Ticinus,Asphaltis
Ticinus,Judea
Ticinus,Armenia
Ticinus,Manduria
Ticinus,Picenum
Ticinus,Colchis
Ticinus,Sorrentum
Ticinus,Reate
Ticinus,Red Sea
Rhone,Lemannus
Rhone,Alps
Rhone,Italy
Rhone,Orontes
Rhone,Syria
Rhone,Arethusa
Rhone,Syracuse
Rhone,Alpheus
Rhone,Olympia
Rhone,Peloponnese
Rhone,Lycus
Rhone,Erasinus
Rhone,Argolid
Rhone,Tigris
Rhone,Athens
Rhone,Phaleron
Rhone,Aquileia
Rhone,Asphaltis
Rhone,Judea
Rhone,Armenia
Rhone,Manduria
Rhone,Picenum
Rhone,Colchis
Rhone,Sorrentum
Rhone,Reate
Rhone,Red Sea
Lemannus,Alps
Lemannus,Italy
Lemannus,Orontes
Lemannus,Syria
Lemannus,Arethusa
Lemannus,Syracuse
Lemannus,Alpheus
Lemannus,Olympia
Lemannus,Peloponnese
Lemannus,Lycus
Lemannus,Erasinus
Lemannus,Argolid
Lemannus,Tigris
Lemannus,Athens
Lemannus,Phaleron
Lemannus,Aquileia
Lemannus,Asphaltis
Lemannus,Judea
Lemannus,Armenia
Lemannus,Manduria
Lemannus,Picenum
Lemannus,Colchis
Lemannus,Sorrentum
Lemannus,Reate
Lemannus,Red Sea
Alps,Italy
Alps,Orontes
Alps,Syria
Alps,Arethusa
Alps,Syracuse
Alps,Alpheus
Alps,Olympia
Alps,Peloponnese
Alps,Lycus
Alps,Erasinus
Alps,Argolid
Alps,Tigris
Alps,Athens
Alps,Phaleron
Alps,Aquileia
Alps,Asphaltis
Alps,Judea
Alps,Armenia
Alps,Manduria
Alps,Picenum
Alps,Colchis
Alps,Sorrentum
Alps,Reate
Alps,Red Sea
Italy,Orontes
Italy,Syria
Italy,Arethusa
Italy,Syracuse
Italy,Alpheus
Italy,Olympia
Italy,Peloponnese
Italy,Lycus
Italy,Erasinus
Italy,Argolid
Italy,Tigris
Italy,Athens
Italy,Phaleron
Italy,Aquileia
Italy,Asphaltis
Italy,Judea
Italy,Armenia
Italy,Manduria
Italy,Picenum
Italy,Colchis
Italy,Sorrentum
Italy,Reate
Italy,Red Sea
Orontes,Syria
Orontes,Arethusa
Orontes,Syracuse
Orontes,Alpheus
Orontes,Olympia
Orontes,Peloponnese
Orontes,Lycus
Orontes,Erasinus
Orontes,Argolid
Orontes,Tigris
Orontes,Athens
Orontes,Phaleron
Orontes,Aquileia
Orontes,Asphaltis
Orontes,Judea
Orontes,Armenia
Orontes,Manduria
Orontes,Picenum
Orontes,Colchis
Orontes,Sorrentum
Orontes,Reate
Orontes,Red Sea
Syria,Arethusa
Syria,Syracuse
Syria,Alpheus
Syria,Olympia
Syria,Peloponnese
Syria,Lycus
Syria,Erasinus
Syria,Argolid
Syria,Tigris
Syria,Athens
Syria,Phaleron
Syria,Aquileia
Syria,Asphaltis
Syria,Judea
Syria,Armenia
Syria,Manduria
Syria,Picenum
Syria,Colchis
Syria,Sorrentum
Syria,Reate
Syria,Red Sea
Arethusa,Syracuse
Arethusa,Alpheus
Arethusa,Olympia
Arethusa,Peloponnese
Arethusa,Lycus
Arethusa,Erasinus
Arethusa,Argolid
Arethusa,Tigris
Arethusa,Athens
Arethusa,Phaleron
Arethusa,Aquileia
Arethusa,Asphaltis
Arethusa,Judea
Arethusa,Armenia
Arethusa,Manduria
Arethusa,Picenum
Arethusa,Colchis
Arethusa,Sorrentum
Arethusa,Reate
Arethusa,Red Sea
Syracuse,Alpheus
Syracuse,Olympia
Syracuse,Peloponnese
Syracuse,Lycus
Syracuse,Erasinus
Syracuse,Argolid
Syracuse,Tigris
Syracuse,Athens
Syracuse,Phaleron
Syracuse,Aquileia
Syracuse,Asphaltis
Syracuse,Judea
Syracuse,Armenia
Syracuse,Manduria
Syracuse,Picenum
Syracuse,Colchis
Syracuse,Sorrentum
Syracuse,Reate
Syracuse,Red Sea
Alpheus,Olympia
Alpheus,Peloponnese
Alpheus,Lycus
Alpheus,Erasinus
Alpheus,Argolid
Alpheus,Tigris
Alpheus,Athens
Alpheus,Phaleron
Alpheus,Aquileia
Alpheus,Asphaltis
Alpheus,Judea
Alpheus,Armenia
Alpheus,Manduria
Alpheus,Picenum
Alpheus,Colchis
Alpheus,Sorrentum
Alpheus,Reate
Alpheus,Red Sea
Olympia,Peloponnese
Olympia,Lycus
Olympia,Erasinus
Olympia,Argolid
Olympia,Tigris
Olympia,Athens
Olympia,Phaleron
Olympia,Aquileia
Olympia,Asphaltis
Olympia,Judea
Olympia,Armenia
Olympia,Manduria
Olympia,Picenum
Olympia,Colchis
Olympia,Sorrentum
Olympia,Reate
Olympia,Red Sea
Peloponnese,Lycus
Peloponnese,Erasinus
Peloponnese,Argolid
Peloponnese,Tigris
Peloponnese,Athens
Peloponnese,Phaleron
Peloponnese,Aquileia
Peloponnese,Asphaltis
Peloponnese,Judea
Peloponnese,Armenia
Peloponnese,Manduria
Peloponnese,Picenum
Peloponnese,Colchis
Peloponnese,Sorrentum
Peloponnese,Reate
Peloponnese,Red Sea
Lycus,Erasinus
Lycus,Argolid
Lycus,Tigris
Lycus,Athens
Lycus,Phaleron
Lycus,Aquileia
Lycus,Asphaltis
Lycus,Judea
Lycus,Armenia
Lycus,Manduria
Lycus,Picenum
Lycus,Colchis
Lycus,Sorrentum
Lycus,Reate
Lycus,Red Sea
Erasinus,Argolid
Erasinus,Tigris
Erasinus,Athens
Erasinus,Phaleron
Erasinus,Aquileia
Erasinus,Asphaltis
Erasinus,Judea
Erasinus,Armenia
Erasinus,Manduria
Erasinus,Picenum
Erasinus,Colchis
Erasinus,Sorrentum
Erasinus,Reate
Erasinus,Red Sea
Argolid,Tigris
Argolid,Athens
Argolid,Phaleron
Argolid,Aquileia
Argolid,Asphaltis
Argolid,Judea
Argolid,Armenia
Argolid,Manduria
