source,target
Cadiz,"Heracles (s. of Zeus), Hercules"
Cadiz,Artemidorus Ephesius
Cadiz,Isidoros of Charax
Cadiz,Artemidorus Ephesius
Cadiz,Artemidorus Ephesius
Macedonia,"Dionysus (s. of Zeus), Bacchus"
Macedonia,"Heracles (s. of Zeus), Hercules"
Macedonia,Paulus
Macedonia,Aemilius
Armenia,"Dionysus (s. of Zeus), Bacchus"
Armenia,"Heracles (s. of Zeus), Hercules"
Armenia,Paulus
Armenia,Aemilius
Iberia,"Dionysus (s. of Zeus), Bacchus"
Iberia,"Heracles (s. of Zeus), Hercules"
Iberia,Paulus
Iberia,Aemilius
Albania,"Dionysus (s. of Zeus), Bacchus"
Albania,"Heracles (s. of Zeus), Hercules"
Albania,Paulus
Albania,Aemilius
Cappadocia,"Dionysus (s. of Zeus), Bacchus"
Cappadocia,"Heracles (s. of Zeus), Hercules"
Cappadocia,Paulus
Cappadocia,Aemilius
Syria,"Dionysus (s. of Zeus), Bacchus"
Syria,"Heracles (s. of Zeus), Hercules"
Syria,Paulus
Syria,Aemilius
Egypt,"Dionysus (s. of Zeus), Bacchus"
Egypt,"Heracles (s. of Zeus), Hercules"
Egypt,Paulus
Egypt,Aemilius
Taurus,"Dionysus (s. of Zeus), Bacchus"
Taurus,"Heracles (s. of Zeus), Hercules"
Taurus,Paulus
Taurus,Aemilius
Caucasus,"Dionysus (s. of Zeus), Bacchus"
Caucasus,"Heracles (s. of Zeus), Hercules"
Caucasus,Paulus
Caucasus,Aemilius
India,"Dionysus (s. of Zeus), Bacchus"
India,"Heracles (s. of Zeus), Hercules"
India,Paulus
India,Aemilius
Macedonia,"Dionysus (s. of Zeus), Bacchus"
Macedonia,"Heracles (s. of Zeus), Hercules"
Macedonia,Paulus
Macedonia,Aemilius
Egypt,Amasis
Egypt,Memnon (s. of Tithonus)
Egypt,Osiris
City of Apollo,Amasis
City of Apollo,Memnon (s. of Tithonus)
City of Apollo,Osiris
Leucothea,Amasis
Leucothea,Memnon (s. of Tithonus)
Leucothea,Osiris
Thebes,Amasis
Thebes,Memnon (s. of Tithonus)
Thebes,Osiris
Coptos,Amasis
Coptos,Memnon (s. of Tithonus)
Coptos,Osiris
Nile,Amasis
Nile,Memnon (s. of Tithonus)
Nile,Osiris
India,Amasis
India,Memnon (s. of Tithonus)
India,Osiris
Arabia,Amasis
Arabia,Memnon (s. of Tithonus)
Arabia,Osiris
city of Venus,Amasis
city of Venus,Memnon (s. of Tithonus)
city of Venus,Osiris
city of Jupiter,Amasis
city of Jupiter,Memnon (s. of Tithonus)
city of Jupiter,Osiris
Tentyris,Amasis
Tentyris,Memnon (s. of Tithonus)
Tentyris,Osiris
Abydus,Amasis
Abydus,Memnon (s. of Tithonus)
Abydus,Osiris
Libya,Amasis
Libya,Memnon (s. of Tithonus)
Libya,Osiris
Ptolemais,Amasis
Ptolemais,Memnon (s. of Tithonus)
Ptolemais,Osiris
Panopolis,Amasis
Panopolis,Memnon (s. of Tithonus)
Panopolis,Osiris
city of Venus,Amasis
city of Venus,Memnon (s. of Tithonus)
city of Venus,Osiris
Lycon,Amasis
Lycon,Memnon (s. of Tithonus)
Lycon,Osiris
Thebais,Amasis
Thebais,Memnon (s. of Tithonus)
Thebais,Osiris
city of Mercury,Amasis
city of Mercury,Memnon (s. of Tithonus)
city of Mercury,Osiris
Alabastron,Amasis
Alabastron,Memnon (s. of Tithonus)
Alabastron,Osiris
city of Dogs,Amasis
city of Dogs,Memnon (s. of Tithonus)
city of Dogs,Osiris
city of Hercules,Amasis
city of Hercules,Memnon (s. of Tithonus)
city of Hercules,Osiris
Arsinoe,Amasis
Arsinoe,Memnon (s. of Tithonus)
Arsinoe,Osiris
Memphis,Amasis
Memphis,Memnon (s. of Tithonus)
Memphis,Osiris
Pyramids,Amasis
Pyramids,Memnon (s. of Tithonus)
Pyramids,Osiris
Labyrinth,Amasis
Labyrinth,Memnon (s. of Tithonus)
Labyrinth,Osiris
Moeris,Amasis
Moeris,Memnon (s. of Tithonus)
Moeris,Osiris
Arabia,Amasis
Arabia,Memnon (s. of Tithonus)
Arabia,Osiris
