Id,Label
Megaris,Megaris
Camarina,Camarina
Agrigentum,Agrigentum
Thermae,Thermae
Selinus,Selinus
Drepana,Drepana
Eryx,Eryx
Panhormus,Panhormus
Solus,Solus
Himera,Himera
Cephaloedis,Cephaloedis
Aluntium,Aluntium
Agathyrnum,Agathyrnum
Mytistratini,Mytistratini
Gaulos,Gaulos
Melita,Melita
Camerina,Camerina
Cosyra,Cosyra
Lopadusa,Lopadusa
Aegusa,Aegusa
Soluntum,Soluntum
Aeolian,Aeolian
Lipara,Lipara
Strongyle,Strongyle
Didyme,Didyme
Caulon,Caulon
Scylacium,Scylacium
Scylletium,Scylletium
Petilia,Petilia
Acroceraunium,Acroceraunium
Thurii,Thurii
Crathis,Crathis
Sybaris,Sybaris
Siris,Siris
Metapontum,Metapontum
Thebes,Thebes
Pandosia,Pandosia
Calabria,Calabria
Apulia,Apulia
Tarentum,Tarentum
Messapia,Messapia
Peucetia,Peucetia
Brundusium,Brundusium
Uria,Uria
Callipolis,Callipolis
Acra Iapygia,Acra Iapygia
Hydruntum,Hydruntum
Ionian,Ionian
Soletum,Soletum
Lupia,Lupia
Caelia,Caelia
Brundisium,Brundisium
Dyrrachium,Dyrrachium
Rudiae,Rudiae
Barium,Barium
Iapygia,Iapygia
Aufidus,Aufidus
Canusium,Canusium
Salapia,Salapia
Sipontum,Sipontum
Garganus,Garganus
Larinum,Larinum
Luceria,Luceria
Venusia,Venusia
Argos Hippium,Argos Hippium
Beneventum,Beneventum
Ortona,Ortona
Bovianum,Bovianum
Sublaqueum,Sublaqueum
Adria,Adria
Praetutia,Praetutia
Truentum,Truentum
Cupra,Cupra
Asculum,Asculum
Potentia,Potentia
Numana,Numana
Urbs Salvia,Urbs Salvia
Ariminum,Ariminum
Aesis,Aesis
Senogallia,Senogallia
Fanum Fortunae,Fanum Fortunae
Pisaurum,Pisaurum
Hispellum,Hispellum
Nequinum,Nequinum
Interamna,Interamna
Rubicon,Rubicon
Ravenna,Ravenna
Bononia,Bononia
Felsina,Felsina
Brixillum,Brixillum
Parma,Parma
Placentia,Placentia
Caesena,Caesena
Claterna,Claterna
Forum Livi,Forum Livi
Forum Corneli,Forum Corneli
Eridanus,Eridanus
Trebia,Trebia
Rhenus,Rhenus
Altinum,Altinum
Spina,Spina
Atria,Atria
Segusio,Segusio
Augusta Taurinorum,Augusta Taurinorum
Augusta Praetoria,Augusta Praetoria
Eporedia,Eporedia
Vercellae,Vercellae
Novaria,Novaria
Ticinum,Ticinum
Laus Pompeia,Laus Pompeia
Mediolanum,Mediolanum
Comum,Comum
Bergomum,Bergomum
Venetia,Venetia
Opitergium,Opitergium
Concordia,Concordia
Tergeste,Tergeste
Ister,Ister
Danube,Danube
Nauportus,Nauportus
Aemona,Aemona
Pola,Pola
Cremona,Cremona
Brixia,Brixia
Acelum,Acelum
Patavium,Patavium
Vicetia,Vicetia
Mantua,Mantua
Verona,Verona
Var,Var
trophy,trophy
Encheleae,Encheleae
Scardona,Scardona
Absyrtium,Absyrtium
Iadera,Iadera
Tragurium,Tragurium
Salona,Salona
Narona,Narona
Epidaurum,Epidaurum
Rhizinium,Rhizinium
Olcinium,Olcinium
Scodra,Scodra
Lissum,Lissum
Epidamnum,Epidamnum
Macedonia,Macedonia
Dassaretae,Dassaretae
Candavia,Candavia
Dyrrhachium,Dyrrhachium
Aous,Aous
Aeas,Aeas
Virunum,Virunum
Teurnia,Teurnia
Sabaria,Sabaria
Scarabantia,Scarabantia
Pannonia,Pannonia
Noricum,Noricum
Sirmium,Sirmium
Taurunum,Taurunum
Moesia,Moesia
Euxine,Euxine
Rhodope,Rhodope
Haemus,Haemus
ADRIATIC,ADRIATIC
Diomedia,Diomedia
Absyrtides,Absyrtides
Electrides,Electrides
Iader,Iader
Pharia,Pharia
Corcyra Melaena,Corcyra Melaena
Melite,Melite
Sasonis,Sasonis
Hellespont,Hellespont
Aitolia,Aitolia
Phocis,Phocis
Locris,Locris
Achaia,Achaia
Messenia,Messenia
Argolis,Argolis
Attica,Attica
Doris,Doris
Phthiotis,Phthiotis
Thessalia,Thessalia
Chaonia,Chaonia
Pindus,Pindus
Tomarus,Tomarus
Chimaer,Chimaer
Maeandria,Maeandria
Cestria,Cestria
Thyamis,Thyamis
Thesprotia,Thesprotia
Buthrotum,Buthrotum
Acheron,Acheron
Acherusia,Acherusia
Aphas,Aphas
Arachthus,Arachthus
Anactoria,Anactoria
Heraclia,Heraclia
Echinus,Echinus
Actium,Actium
Nicopolis,Nicopolis
Leucadia,Leucadia
Leucate,Leucate
Alyzia,Alyzia
Stratos,Stratos
Argos,Argos
