id,label,type
Megasthenes (geographer),Megasthenes (geographer),Person_Name
Dionysius (ambassador),Dionysius (ambassador),Person_Name
Ptolemy II Philadelphus (king) ,Ptolemy II Philadelphus (king) ,Person_Name
Seneca,Seneca,Person_Name
Diognetus,Diognetus,Person_Name
Baeton,Baeton,Person_Name
Kratos (s. of Pallas),Kratos (s. of Pallas),Person_Name
"Zeus (s. of Cronus), Jupiter","Zeus (s. of Cronus), Jupiter",Person_Name
"Claudius Caesar, Roman emperor","Claudius Caesar, Roman emperor",Person_Name
Annius,Annius,Person_Name
"Helios, the Sun (s. of Hyperion)","Helios, the Sun (s. of Hyperion)",Person_Name
Canopus (mythology),Canopus (mythology),Person_Name
Arius (Christian heretic),Arius (Christian heretic),Person_Name
Juba II,Juba II,Person_Name
"Nearchos, Nearchus","Nearchos, Nearchus",Person_Name
Leonnatus (Macedonian noble),Leonnatus (Macedonian noble),Person_Name
Nymphs ,Nymphs ,Person_Name
Arcturus,Arcturus,Person_Name
"Pirates, piracy","Pirates, piracy",Person_Name
Hippalus (explorer),Hippalus (explorer),Person_Name
Pandion,Pandion,Person_Name
Cassandra (d. of Priam),Cassandra (d. of Priam),Person_Name
"Poseidon (s. of Cronus), Neptune","Poseidon (s. of Cronus), Neptune",Person_Name
Epiphanes,Epiphanes,Person_Name
Numenius,Numenius,Person_Name
Ctesias (physician and historian),Ctesias (physician and historian),Person_Name
Eudoxus of Cnidus (astronomer),Eudoxus of Cnidus (astronomer),Person_Name
Homer (poet) ,Homer (poet) ,Person_Name
Aristotle (philosopher) ,Aristotle (philosopher) ,Person_Name
Isigonus,Isigonus,Person_Name
Crates of Mallus,Crates of Mallus,Person_Name
Agatharchides (geographer),Agatharchides (geographer),Person_Name
"Cleitarchus, Clitarchus, Kleitarchos (historian)","Cleitarchus, Clitarchus, Kleitarchos (historian)",Person_Name
"Duris, Douris (of Samos, historian)","Duris, Douris (of Samos, historian)",Person_Name
Germanicus,Germanicus,Person_Name
Herodotus (historian),Herodotus (historian),Person_Name
"Metrodorus, Metrodoros","Metrodorus, Metrodoros",Person_Name
Regulus,Regulus,Person_Name
"Ptolemy, Ptolemaeus (misc)","Ptolemy, Ptolemaeus (misc)",Person_Name
"Tiberius Caesar, Roman emperor","Tiberius Caesar, Roman emperor",Person_Name
Triton (s. of Poseidon),Triton (s. of Poseidon),Person_Name
Nereids,Nereids,Person_Name
Octavius Caesar Augustus (Roman Emperor) ,Octavius Caesar Augustus (Roman Emperor) ,Person_Name
Turranius,Turranius,Person_Name
Andromeda (d. of Cepheus),Andromeda (d. of Cepheus),Person_Name
Scaurus,Scaurus,Person_Name
Statius,Statius,Person_Name
Statius Sebosus (geographer),Statius Sebosus (geographer),Person_Name
Dinon (historian),Dinon (historian),Person_Name
Melampus (s. of Amythaon),Melampus (s. of Amythaon),Person_Name
Democritus (philosopher),Democritus (philosopher),Person_Name
"Vergilius, Virgil (poet)","Vergilius, Virgil (poet)",Person_Name
Nero (Roman emperor),Nero (Roman emperor),Person_Name
Mithridates VI of Pontus,Mithridates VI of Pontus,Person_Name
Fabius,Fabius,Person_Name
"Cheiron, Chiron (centaur, myth. s. of Cronus)","Cheiron, Chiron (centaur, myth. s. of Cronus)",Person_Name
Poppaea,Poppaea,Person_Name
Theophrastus (philosopher),Theophrastus (philosopher),Person_Name
Harpalus,Harpalus,Person_Name
Mago (writer),Mago (writer),Person_Name
Anaxilaus,Anaxilaus,Person_Name
Cleopatra,Cleopatra,Person_Name
Mark Antony (Roman general),Mark Antony (Roman general),Person_Name
Polycleitus of Larissa (geographer),Polycleitus of Larissa (geographer),Person_Name
"Lycos, Lycus","Lycos, Lycus",Person_Name
Theopompus (Greek historian),Theopompus (Greek historian),Person_Name
Coelius,Coelius,Person_Name
Apion (scholar),Apion (scholar),Person_Name
"Cronus (s. of Uranus), Saturn","Cronus (s. of Uranus), Saturn",Person_Name
Larcius,Larcius,Person_Name
Licinius,Licinius,Person_Name
Hammon,Hammon,Person_Name
"Licinius, Licinius Macer","Licinius, Licinius Macer",Person_Name
Polygnotus (painter),Polygnotus (painter),Person_Name
Micon (Athenian painter and sculptor),Micon (Athenian painter and sculptor),Person_Name
Apelles (painter),Apelles (painter),Person_Name
Echion,Echion,Person_Name
"Melanthius (tragedian, painter, writer)","Melanthius (tragedian, painter, writer)",Person_Name
Nicomachus of Thebes,Nicomachus of Thebes,Person_Name
Menelaus (s. of Atreus),Menelaus (s. of Atreus),Person_Name
"Xenocrates, Xenokrates","Xenocrates, Xenokrates",Person_Name
Pythagoras (misc),Pythagoras (misc),Person_Name
Cornelius,Cornelius,Person_Name
Bocchus,Bocchus,Person_Name
Xenocrates,Xenocrates,Person_Name
Sudines,Sudines,Person_Name
Livia,Livia,Person_Name
Phaethon (son of Helios),Phaethon (son of Helios),Person_Name
Aeschylus,Aeschylus,Person_Name
Philoxenus of Cythera,Philoxenus of Cythera,Person_Name
Euripides (playwright),Euripides (playwright),Person_Name
Nicander,Nicander,Person_Name
"Satyrus, Satyros","Satyrus, Satyros",Person_Name
"Apollonius, Apollonios, Apollonium","Apollonius, Apollonios, Apollonium",Person_Name
"Chares, Khares","Chares, Khares",Person_Name
Ammon,Ammon,Person_Name
Philemon (poet),Philemon (poet),Person_Name
Zenothemis,Zenothemis,Person_Name
Pytheas (explorer),Pytheas (explorer),Person_Name
Timaeus (historian),Timaeus (historian),Person_Name
Nicias (misc),Nicias (misc),Person_Name
Theochrestus,Theochrestus,Person_Name
Xenocrates of Aphrodisias,Xenocrates of Aphrodisias,Person_Name
Mnaseas (traveller),Mnaseas (traveller),Person_Name
Penelope (d. of Icarius),Penelope (d. of Icarius),Person_Name
Hesperides ,Hesperides ,Person_Name
Hesperus,Hesperus,Person_Name
"Sophocles (playwright, Athenian general)","Sophocles (playwright, Athenian general)",Person_Name
Meleager (s. of Oeneus),Meleager (s. of Oeneus),Person_Name
Julianus,Julianus,Person_Name
"Archelaus, Archelaos","Archelaus, Archelaos",Person_Name
Nonius,Nonius,Person_Name
Catullus,Catullus,Person_Name
Servilius,Servilius,Person_Name
Ismenias (flute-player ),Ismenias (flute-player ),Person_Name
Demostratus,Demostratus,Person_Name
Menander (misc),Menander (misc),Person_Name
"Magi, Magus","Magi, Magus",Person_Name
Petra,Petra,Person_Name
"Aphrodite (d. of Uranus), Venus","Aphrodite (d. of Uranus), Venus",Person_Name
Milo of Croton (athlete) ,Milo of Croton (athlete) ,Person_Name
Alexander (misc),Alexander (misc),Person_Name
